hindi_phrase,english_translation,sanskrit_translation,tamil_translation,odia_translation,category
इतिहास,History,इतिहास,வரலாறு,ଇତିହାସ,Language
पीढ़ी,Generation,पीढ़ी,தலைமுறை,ପି Generation ଼ି,Language
पूर्वज,Ancestors,पूर्वज,முன்னோர்கள்,ପିତୃପୁରୁଷ |,Language
बुजुर्ग,Elders,वृद्धाः,பெரியவர்கள்,ପ୍ରାଚୀନମାନେ,Language
ज्ञान,Knowledge,ज्ञानम्‌,அறிவு,ଜ୍ଞାନ,Language
शिक्षा,Education,शिक्षा,கல்வி,ଶିକ୍ଷା,Language
सीख,Lesson,पाठ,பாடம்,ଶିକ୍ଷା,Language
भाषा सेतु,BhashaSetu,भाषासेतु,பாஷாசேது,ଭାସା ସେଟୁ |,Preservation
सेतु,Bridge of connection,संयोगस्य सेतुः,இணைப்பு பாலம்,ସଂଯୋଗର ସେତୁ |,Preservation
रोबोट,Robot,रोबोट,ரோபோ,ରୋବଟ୍ |,Preservation
यंत्र,Machine,यंत्रं,இயந்திரம்,ମେସିନ୍,Preservation
कृत्रिम बुद्धि,Artificial intelligence,कृत्रिमबुद्धि,செயற்கை நுண்ணறிவு,କୃତ୍ରିମ ବୁଦ୍ଧି,Preservation
कंप्यूटर,Computer,संगणक,கணினி,କମ୍ପ୍ୟୁଟର,Preservation
प्रौद्योगिकी,Technology,तन्त्रज्ञान,தொழில்நுட்பம்,ଟେକ୍ନୋଲୋଜି |,Preservation
कैमरा,Camera,कॅमेरा,கேமரா,କ୍ୟାମେରା |,Preservation
माइक्रोफोन,Microphone,माइक्रोफोन,ஒலிவாங்கி,ମାଇକ୍ରୋଫୋନ୍ |,Preservation
रिकॉर्डिंग,Recording,रिकार्डिङ्ग,பதிவு செய்தல்,ରେକର୍ଡିଂ,Preservation
आवाज़ रिकॉर्ड करना,To record voice,स्वरं रिकार्ड् कर्तुं,குரல் பதிவு செய்ய,ସ୍ୱର ରେକର୍ଡ କରିବାକୁ |,Preservation
मैं सुन रहा हूँ,I am listening,अहं शृणोमि,நான் கேட்டுக் கொண்டிருக்கிறேன்,ମୁଁ ଶୁଣୁଛି,Preservation
कृपया बोलिए,Please speak,कृपया वदतु,தயவுசெய்து பேசுங்கள்,ଦୟାକରି କୁହନ୍ତୁ |,Preservation
कृपया दोहराइए,Please repeat,कृपया पुनः पुनः,மீண்டும் செய்யவும்,ଦୟାକରି ପୁନରାବୃତ୍ତି କରନ୍ତୁ |,Preservation
मुझे एक कहानी सुनाइए,Tell me a story,कथां कथयतु,எனக்கு ஒரு கதை சொல்லுங்கள்,ମୋତେ ଏକ କାହାଣୀ କୁହ |,Preservation
मुझे एक गीत सुनाइए,Sing me a song,गीतं मम गायतु,எனக்கு ஒரு பாடல் பாடுங்கள்,ମୋତେ ଏକ ଗୀତ ଗାନ କର |,Preservation
आपकी आवाज़ सुरक्षित है,Your voice is saved,भवतः स्वरः रक्षितः अस्ति,உங்கள் குரல் சேமிக்கப்பட்டது,ତୁମର ସ୍ୱର ସଞ୍ଚୟ ହୋଇଛି |,Preservation
रिकॉर्डिंग शुरू,Recording started,रिकार्डिङ्ग् आरब्धम्,பதிவு தொடங்கியது,ରେକର୍ଡିଂ ଆରମ୍ଭ ହେଲା |,Preservation
रिकॉर्डिंग समाप्त,Recording finished,रिकार्डिङ्ग् समाप्तम्,பதிவு முடிந்தது,ରେକର୍ଡିଂ ସମାପ୍ତ,Preservation
क्या आप थक गए हैं,Are you tired,किं त्वं श्रान्तः असि,நீங்கள் சோர்வாக இருக்கிறீர்களா,ତୁମେ କ୍ଳାନ୍ତ କି?,Preservation
आइए थोड़ा आराम करें,Let us rest a while,किञ्चित्कालं विश्रामं कुर्मः,சிறிது நேரம் ஓய்வெடுப்போம்,ଚାଲ କିଛି ସମୟ ବିଶ୍ରାମ କରିବା |,Preservation
आपका बहुत धन्यवाद,Thank you so much,भूरिशः धन्यवादाः,மிக்க நன்றி,ଆପଣଙ୍କୁ ବହୁତ ଧନ୍ୟବାଦ,Preservation
विलुप्त भाषा,Endangered language,विलुप्तप्राय भाषा,அழிந்து வரும் மொழி,ବିପଦପୂର୍ଣ୍ଣ ଭାଷା |,Preservation
विलुप्त हो रहा,Disappearing,अन्तर्धानं भवति,மறைகிறது,ଅଦୃଶ୍ୟ,Preservation
संकट में,In danger,संकटे,ஆபத்தில்,ବିପଦରେ,Preservation
भाषा संरक्षण,Language preservation,भाषासंरक्षणम्,மொழிப் பாதுகாப்பு,ଭାଷା ସଂରକ୍ଷଣ,Preservation
बचाना ज़रूरी है,Saving is essential,बचतम् अत्यावश्यकम्,சேமிப்பு அவசியம்,ସଞ୍ଚୟ ଏକାନ୍ତ ଆବଶ୍ୟକ |,Preservation
जीवित रखना,To keep alive,जीवितं स्थापयितुं,வாழ வைக்க,ବଞ୍ଚିବା ପାଇଁ |,Preservation
दस्तावेज़,Document,प्रलेख,ஆவணம்,ଡକ୍ୟୁମେଣ୍ଟ୍,Preservation
संग्रह,Collection,सङ्ग्रह,சேகரிப்பு,ସଂଗ୍ରହ,Preservation
अभिलेखागार,Archive,लेखागार,காப்பகம்,ଅଭିଲେଖାଗାର,Preservation
शोध,Research,अनुसंधानम्,ஆராய்ச்சி,ଅନୁସନ୍ଧାନ |,Preservation
साक्षात्कार,Interview,साक्षात्कारं,நேர்காணல்,ସାକ୍ଷାତକାର |,Preservation
अनुमति,Permission,अनुमति,அனுமதி,ଅନୁମତି,Preservation
सहमति,Consent,सम्मतिः,சம்மதம்,ସମ୍ମତି,Preservation
सम्मान,Respect,आदरः,மரியாதை,ସମ୍ମାନ,Preservation
गरिमा,Dignity,गौरवं,கண்ணியம்,ସମ୍ମାନ,Preservation
समुदाय,Community,समुदाय,சமூகம்,ସମ୍ପ୍ରଦାୟ,Preservation
वारली,Warli,वारली,வார்லி,ୱାର୍ଲୀ |,Preservation
आदिवासी,Tribal,आदिवासी,பழங்குடியினர்,ଆଦିବାସୀ,Preservation
वारली चित्रकला,Warli painting,वारली चित्रकला,வார்லி ஓவியம்,ୱାର୍ଲି ଚିତ୍ର,Preservation
त्रिभुज,Triangle,त्रिकोणः,முக்கோணம்,ତ୍ରିରଙ୍ଗା |,Preservation
वृत्त,Circle,वृत्त,வட்டம்,ବୃତ୍ତ,Preservation
तारपा नृत्य,Tarpa dance,तर्प नृत्य,தர்ப்பை நடனம்,ତରପା ନୃତ୍ୟ |,Preservation
पालघर,Palghar,पालघर,பால்கர்,ପାଲଘର |,Preservation
महाराष्ट्र,Maharashtra,महाराष्ट्र,மகாராஷ்டிரா,ମହାରାଷ୍ଟ୍ର,Preservation
भविष्य,Future,भविष्य,எதிர்காலம்,ଭବିଷ୍ୟତ,Preservation
अतीत,Past,भूत,கடந்த,ଅତୀତ,Preservation
वर्तमान,Present,उपस्थितः,தற்போது,ଉପସ୍ଥିତ,Preservation
नई पीढ़ी,New generation,नवीन पीढी,புதிய தலைமுறை,ନୂତନ ପି generation ଼ି,Preservation
अगली पीढ़ी के लिए,For the next generation,अग्रिमजन्मस्य कृते,அடுத்த தலைமுறைக்கு,ପରବର୍ତ୍ତୀ ପି generation ଼ି ପାଇଁ |,Preservation
आप कहाँ रहते हैं,Where do you live,तवं कुत्र वससि,நீங்கள் எங்கு வசிக்கிறீர்கள்,ଆପଣ କେଉଁଠାରେ ରୁହନ୍ତି,Sentences
आपकी उम्र क्या है,How old are you,भवतः वयः कियत्‌,உங்களுக்கு எவ்வளவு வயது,ତୁମର ବୟସ କେତେ?,Sentences
आप क्या करते हैं,What do you do,त्वं किं करोसि,நீ என்ன செய்வாய்,ତୁମେ କଣ କର,Sentences
आपको क्या पसंद है,What do you like,भवतः किं रोचते,உனக்கு என்ன பிடிக்கும்,ଆପଣ କଣ ପସନ୍ଦ କରନ୍ତି,Sentences
मुझे यह पसंद है,I like this,मम एतत् रोचते,எனக்கு இது பிடிக்கும்,ମୁଁ ଏହା ପସନ୍ଦ କରେ,Sentences
मुझे यह पसंद नहीं है,I do not like this,मम एतत् न रोचते,எனக்கு இது பிடிக்கவில்லை,ମୁଁ ଏହା ପସନ୍ଦ କରେ ନାହିଁ,Sentences
यह क्या है,What is this,इदं किं,என்ன இது,ଏହା କ’ଣ?,Sentences
वह क्या है,What is that,तत् किम्,அது என்ன,ତାହା କ’ଣ?,Sentences
यह किसका है,Whose is this,कस्य इति,இது யாருடையது,ଏହା କାହାର,Sentences
यह कितने का है,How much is this,कियत् इति,இது எவ்வளவு,ଏହା କେତେ?,Sentences
कितना समय लगेगा,How long will it take,कियत्कालं यावत् भवति,எவ்வளவு நேரம் எடுக்கும்,କେତେ ସମୟ ଲାଗିବ |,Sentences
रास्ता किधर है,Which way is the road,कः मार्गः मार्गः अस्ति,எந்த வழி சாலை,କେଉଁ ରାସ୍ତା ହେଉଛି ରାସ୍ତା |,Sentences
मुझे मदद चाहिए,I need help,मम साहाय्यस्य आवश्यकता अस्ति,எனக்கு உதவி தேவை,ମୋର ସାହାଯ୍ୟ ଦରକାର |,Sentences
क्या आप मेरी मदद करेंगे,Will you help me,किं त्वं मम साहाय्यं करिष्यसि,எனக்கு உதவி செய்வாயா,ତୁମେ ମୋତେ ସାହାଯ୍ୟ କରିବ କି?,Sentences
मैं आपकी मदद करूँगा,I will help you,अहं भवतः साहाय्यं करिष्यामि,நான் உனக்கு உதவுவேன்,ମୁଁ ତୁମକୁ ସାହାଯ୍ୟ କରିବି,Sentences
चिंता मत कीजिए,Do not worry,चिन्ता मा कुरुत,கவலைப்படாதே,ବ୍ୟସ୍ତ ହୁଅନ୍ତୁ ନାହିଁ |,Sentences
सब ठीक हो जाएगा,Everything will be fine,सर्वं सुष्ठु भविष्यति,எல்லாம் சரியாகிவிடும்,ସବୁକିଛି ଠିକ୍ ରହିବ |,Sentences
मुझे भारत से प्यार है,I love India,अहं भारतं प्रेम करोमि,நான் இந்தியாவை நேசிக்கிறேன்,ମୁଁ ଭାରତକୁ ଭଲ ପାଏ |,Sentences
मुझे अपनी भाषा से प्यार है,I love my language,मम भाषा मम बहु रोचते,நான் என் மொழியை நேசிக்கிறேன்,ମୁଁ ମୋର ଭାଷାକୁ ଭଲ ପାଏ |,Sentences
मुझे गर्व है,I am proud,अहं गर्वितः अस्मि,நான் பெருமைப்படுகிறேன்,ମୁଁ ଗର୍ବିତ,Sentences
यह बहुत सुंदर है,This is very beautiful,एतत् अतीव सुन्दरम् अस्ति,இது மிகவும் அழகாக இருக்கிறது,ଏହା ବହୁତ ସୁନ୍ଦର ଅଟେ |,Sentences
मौसम अच्छा है,The weather is nice,मौसमः सुन्दरः अस्ति,வானிலை நன்றாக இருக்கிறது,ପାଗ ଭଲ ଅଟେ |,Sentences
आज बारिश हो रही है,It is raining today,अद्य वर्षा भवति,இன்று மழை பெய்கிறது,ଆଜି ବର୍ଷା ହେଉଛି,Sentences
मैं स्कूल जाता हूँ,I go to school,अहं विद्यालयं गच्छामि,நான் பள்ளிக்குச் செல்கிறேன்,ମୁଁ ବିଦ୍ୟାଳୟକୁ ଯାଏ |,Sentences
मैं पढ़ाई करता हूँ,I am studying,अहं पठामि,நான் படிக்கிறேன்,ମୁଁ ଅଧ୍ୟୟନ କରୁଛି,Sentences
मुझे खेलना पसंद है,I like to play,मम क्रीडनं रोचते,நான் விளையாட விரும்புகிறேன்,ମୁଁ ଖେଳିବାକୁ ପସନ୍ଦ କରେ,Sentences
मुझे संगीत पसंद है,I like music,मम सङ्गीतं रोचते,எனக்கு இசை பிடிக்கும்,ମୁଁ ସଙ୍ଗୀତ ପସନ୍ଦ କରେ,Sentences
क्या आप गा सकते हैं,Can you sing,किं भवन्तः गायितुं शक्नुवन्ति,பாட முடியுமா,ତୁମେ ଗାଇ ପାରିବ କି?,Sentences
क्या आप नाच सकते हैं,Can you dance,किं भवन्तः नृत्यं कर्तुं शक्नुवन्ति,நடனமாட முடியுமா,ତୁମେ ନାଚିବ କି?,Sentences
मुझे कहानियाँ सुनना पसंद है,I love listening to stories,कथाः श्रोतुं मम बहु रोचते,எனக்கு கதைகள் கேட்பது பிடிக்கும்,ମୁଁ କାହାଣୀ ଶୁଣିବାକୁ ଭଲ ପାଏ |,Sentences
दादी कहानी सुनाती हैं,Grandmother tells stories,पितामही कथाः कथयति,பாட்டி கதைகள் சொல்கிறார்,ଜେଜେମା କାହାଣୀ କୁହନ୍ତି |,Sentences
बच्चे खेल रहे हैं,The children are playing,बालकाः क्रीडन्ति,குழந்தைகள் விளையாடுகிறார்கள்,ପିଲାମାନେ ଖେଳୁଛନ୍ତି |,Sentences
पक्षी गा रहे हैं,The birds are singing,पक्षिणः गायन्ति,பறவைகள் பாடுகின்றன,ପକ୍ଷୀମାନେ ଗୀତ ଗାଉଛନ୍ତି,Sentences
सूरज निकल रहा है,The sun is rising,सूर्योदयः,சூரியன் உதிக்கின்றது,ସୂର୍ଯ୍ୟ ଉଦୟ ହେଉଛି,Sentences
चाँद चमक रहा है,The moon is shining,चन्द्रः प्रकाशते,சந்திரன் பிரகாசிக்கிறது,ଚନ୍ଦ୍ର ଉଜ୍ଜ୍ୱଳ |,Sentences
नदी बह रही है,The river is flowing,नदी प्रवहति,ஆறு ஓடுகிறது,ନଦୀ ପ୍ରବାହିତ ହେଉଛି,Sentences
फूल खिल रहे हैं,The flowers are blooming,पुष्पाणि प्रफुल्लितानि सन्ति,பூக்கள் பூத்துக் குலுங்குகின்றன,ଫୁଲଗୁଡ଼ିକ ଫୁଲୁଛି |,Sentences
दीप जल रहा है,The lamp is burning,दीपः प्रज्वलितः अस्ति,விளக்கு எரிகிறது,ଦୀପ ଜଳୁଛି |,Sentences
दरवाज़ा खुला है,The door is open,द्वारं उद्घाटितम् अस्ति,கதவு திறந்திருக்கிறது,କବାଟ ଖୋଲା ଅଛି |,Sentences
खाना तैयार है,The food is ready,भोजनं सज्जम् अस्ति,உணவு தயாராக உள்ளது,ଖାଦ୍ୟ ପ୍ରସ୍ତୁତ |,Sentences
अंदर आइए,Please come inside,कृपया अन्तः आगच्छन्तु,தயவுசெய்து உள்ளே வாருங்கள்,ଦୟାକରି ଭିତରକୁ ଆସନ୍ତୁ |,Sentences
बैठिए,Please sit down,कृपया उपविशतु,தயவுசெய்து உட்காருங்கள்,ଦୟାକରି ବସନ୍ତୁ |,Sentences
पानी पीजिए,Please drink water,कृपया जलं पिबन्तु,தயவுசெய்து தண்ணீர் குடிக்கவும்,ଦୟାକରି ପାଣି ପିଅନ୍ତୁ |,Sentences
ध्यान से सुनिए,Listen carefully,ध्यानपूर्वकं शृणुत,கவனமாகக் கேளுங்கள்,ଭଲ ଭାବରେ ଶୁଣ |,Sentences
धीरे चलिए,Walk slowly,मन्दं गच्छतु,மெதுவாக நடக்கவும்,ଧୀରେ ଧୀରେ ଚାଲନ୍ତୁ |,Sentences
जल्दी आइए,Come quickly,शीघ्रम् आगच्छतु,சீக்கிரம் வா,ଶୀଘ୍ର ଆସ |,Sentences
यहाँ आइए,Come here,अत्र आगच्छतु,இங்கே வா,ଏଠାକୁ ଆସ |,Sentences
वहाँ जाइए,Go there,तत्र गच्छतु,அங்கே போ,ସେଠାକୁ ଯାଅ |,Sentences
रुकिए,Please stop,कृपया निवर्तते,தயவுசெய்து நிறுத்துங்கள்,ଦୟାକରି ବନ୍ଦ କରନ୍ତୁ |,Sentences
देखिए,Please look,कृपया पश्यन्तु,தயவுசெய்து பாருங்கள்,ଦୟାକରି ଦେଖନ୍ତୁ |,Sentences
सत्य बोलो,Speak the truth,सत्यं वदतु,உண்மையைப் பேசு,ସତ କୁହ,Wisdom
सत्यमेव जयते,Truth alone triumphs,सत्यमेव विजयते,உண்மை மட்டுமே வெல்லும்,କେବଳ ସତ୍ୟ ଜିତେ |,Wisdom
अतिथि देवो भव,The guest is like God,अतिथिः ईश्वर इव अस्ति,விருந்தினர் கடவுளைப் போன்றவர்,ଅତିଥି ଭଗବାନଙ୍କ ପରି |,Wisdom
विद्या धन है,Knowledge is wealth,ज्ञानं धनम्,அறிவு செல்வம்,ଜ୍ଞାନ ହେଉଛି ଧନ |,Wisdom
ज्ञान शक्ति है,Knowledge is power,ज्ञानं शक्तिः,அறிவு சக்தி,ଜ୍ଞାନ ହେଉଛି ଶକ୍ତି |,Wisdom
समय बलवान है,Time is powerful,कालः शक्तिशाली अस्ति,நேரம் சக்தி வாய்ந்தது,ସମୟ ଶକ୍ତିଶାଳୀ |,Wisdom
समय का मूल्य समझो,Value your time,स्वसमयस्य मूल्यं ददातु,உங்கள் நேரத்தை மதிப்பிடுங்கள்,ତୁମର ସମୟକୁ ମୂଲ୍ୟ ଦିଅ |,Wisdom
जीवन अनमोल है,Life is precious,जीवनं बहुमूल्यम् अस्ति,வாழ்க்கை விலைமதிப்பற்றது,ଜୀବନ ମୂଲ୍ୟବାନ ଅଟେ |,Wisdom
परिश्रम का फल मीठा होता है,The fruit of hard work is sweet,परिश्रमस्य फलं मधुरं भवति,கடின உழைப்பின் பலன் இனிமையானது,ପରିଶ୍ରମର ଫଳ ମିଠା ଅଟେ |,Wisdom
धैर्य रखो,Be patient,धैर्यं धारयतु,பொறுமையாக இருங்கள்,ଧ patient ର୍ଯ୍ୟବାନ ହୁଅ,Wisdom
आशा मत छोड़ो,Do not lose hope,आशां न त्यजन्तु,நம்பிக்கையை இழக்காதீர்கள்,ଆଶା ହରାନ୍ତୁ ନାହିଁ |,Wisdom
दूसरों की मदद करो,Help others,अन्येषां साहाय्यं कुरुत,மற்றவர்களுக்கு உதவுங்கள்,ଅନ୍ୟମାନଙ୍କୁ ସାହାଯ୍ୟ କର |,Wisdom
बड़ों का सम्मान करो,Respect your elders,भवतः वृद्धानां सम्मानं कुरुत,உங்கள் பெரியவர்களை மதிக்கவும்,ତୁମର ପ୍ରାଚୀନମାନଙ୍କୁ ସମ୍ମାନ ଦିଅ |,Wisdom
विनम्र रहो,Be humble,विनयशीलः भवतु,அடக்கமாக இருங்கள்,ନମ୍ର ହୁଅ,Wisdom
क्षमा करना सीखो,Learn to forgive,क्षन्तुं शिक्षन्तु,மன்னிக்க கற்றுக்கொள்ளுங்கள்,କ୍ଷମା କରିବାକୁ ଶିଖ |,Wisdom
ईमानदारी सबसे अच्छी नीति है,Honesty is the best policy,प्रामाणिकता एव सर्वोत्तमा नीतिः,நேர்மையே சிறந்த கொள்கை,ସଚ୍ଚୋଟତା ହେଉଛି ସର୍ବୋତ୍ତମ ନୀତି |,Wisdom
एकता में शक्ति है,There is strength in unity,एकत्वे बलं भवति,ஒற்றுமையில் பலம் உண்டு,ଏକତା ମଧ୍ୟରେ ଶକ୍ତି ଅଛି |,Wisdom
बूँद बूँद से सागर बनता है,Drop by drop makes an ocean,बिन्दुः बिन्दुः समुद्रं करोति,துளி துளி ஒரு கடலை உருவாக்குகிறது,ଡ୍ରପ୍ ଦ୍ୱାରା ଡ୍ରପ୍ ଏକ ସମୁଦ୍ର ସୃଷ୍ଟି କରେ |,Wisdom
जहाँ चाह वहाँ राह,Where there is a will there is a way,यत्र इच्छा अस्ति तत्र मार्गः अस्ति,விருப்பம் உள்ள இடத்தில் ஒரு வழி இருக்கிறது,ଯେଉଁଠାରେ ଇଚ୍ଛା ଅଛି ସେଠାରେ ଏକ ଉପାୟ ଅଛି |,Wisdom
अभ्यास से सब संभव है,Practice makes everything possible,अभ्यासः सर्वं सम्भवं करोति,பயிற்சி எல்லாவற்றையும் சாத்தியமாக்குகிறது,ଅଭ୍ୟାସ ସବୁକିଛି ସମ୍ଭବ କରିଥାଏ |,Wisdom
गिरकर उठना ही जीवन है,To fall and rise again is life,पतनं पुनरुत्थानं च जीवनम्,விழுந்து மீண்டும் எழுவதே வாழ்க்கை,ପୁନର୍ବାର ପଡ଼ିବା ଏବଂ ଉଠିବା ହେଉଛି ଜୀବନ |,Wisdom
मन के हारे हार है,Defeat begins in the mind,मनसि पराजयः आरभ्यते,தோல்வி மனதிலிருந்தே தொடங்குகிறது,ପରାଜୟ ମନରେ ଆରମ୍ଭ ହୁଏ |,Wisdom
अतीत से सीखो,Learn from the past,अतीतात् शिक्षन्तु,கடந்த காலத்திலிருந்து கற்றுக்கொள்ளுங்கள்,ଅତୀତରୁ ଶିଖ |,Wisdom
भविष्य की ओर देखो,Look toward the future,भविष्यं प्रति पश्यन्तु,எதிர்காலத்தை நோக்கி பார்,ଭବିଷ୍ୟତ ଆଡକୁ ଦେଖନ୍ତୁ |,Wisdom
प्रकृति की रक्षा करो,Protect nature,प्रकृतेः रक्षणं कुरुत,இயற்கையை பாதுகாக்கவும்,ପ୍ରକୃତିର ସୁରକ୍ଷା କରନ୍ତୁ |,Wisdom
पेड़ लगाओ,Plant trees,वृक्षान् रोपयन्तु,மரங்களை நடவும்,ଗଛ ଲଗାନ୍ତୁ |,Wisdom
पानी बचाओ,Save water,जलं रक्षतु,தண்ணீரை சேமிக்கவும்,ଜଳ ସଞ୍ଚୟ କରନ୍ତୁ |,Wisdom
संस्कृति को जीवित रखो,Keep culture alive,संस्कृतिं जीवितं कुर्वन्तु,கலாச்சாரத்தை வாழ வைக்க,ସଂସ୍କୃତିକୁ ଜୀବନ୍ତ ରଖ |,Wisdom
अपनी भाषा पर गर्व करो,Be proud of your language,स्वभाषायाः गर्वः भवतु,உங்கள் மொழியில் பெருமை கொள்ளுங்கள்,ତୁମର ଭାଷା ପାଇଁ ଗର୍ବିତ ହୁଅ |,Wisdom
भाषा संस्कृति की आत्मा है,Language is the soul of culture,भाषा संस्कृतिस्य आत्मा अस्ति,மொழி என்பது கலாச்சாரத்தின் ஆன்மா,ଭାଷା ହେଉଛି ସଂସ୍କୃତିର ଆତ୍ମା ​​|,Wisdom
हर भाषा अनमोल है,Every language is priceless,प्रत्येकं भाषा अमूल्यम् अस्ति,ஒவ்வொரு மொழியும் விலைமதிப்பற்றது,ପ୍ରତ୍ୟେକ ଭାଷା ଅମୂଲ୍ୟ ଅଟେ |,Wisdom
शब्दों में शक्ति होती है,Words have power,शब्दानां शक्तिः भवति,வார்த்தைகளுக்கு சக்தி உண்டு,ଶବ୍ଦର ଶକ୍ତି ଅଛି |,Wisdom
कहानियाँ हमें जोड़ती हैं,Stories connect us,कथाः अस्मान् संयोजयन्ति,கதைகள் நம்மை இணைக்கின்றன,କାହାଣୀ ଆମକୁ ସଂଯୋଗ କରେ |,Wisdom
बुजुर्गों की बातें सुनो,Listen to the elders,वृद्धानां वचनं शृणुत,பெரியவர்கள் சொல்வதைக் கேளுங்கள்,ପ୍ରାଚୀନମାନଙ୍କ କଥା ଶୁଣ,Wisdom
अगली पीढ़ी के लिए सोचो,Think of the next generation,अग्रिमजन्मस्य विषये चिन्तयतु,அடுத்த தலைமுறையை நினைத்துப் பாருங்கள்,ପରବର୍ତ୍ତୀ ପି generation ଼ି ବିଷୟରେ ଚିନ୍ତା କର |,Wisdom
एक बार की बात है,Once upon a time,एकदा,ஒரு காலத்தில்,ଥରେ,Stories
पहाड़ों के बीच एक छोटा सा गाँव था,There was a small village among the mountains,पर्वतानां मध्ये एकः लघुः ग्रामः आसीत्,மலைகளுக்கு நடுவே ஒரு சிறிய கிராமம் இருந்தது,ପର୍ବତମାନଙ୍କ ମଧ୍ୟରେ ଏକ ଛୋଟ ଗାଁ ଥିଲା |,Stories
उस गाँव में एक बुज़ुर्ग महिला रहती थी,An elderly woman lived in that village,तस्मिन् ग्रामे एका वृद्धा महिला निवसति स्म,அந்த ஊரில் ஒரு வயதான பெண்மணி வசித்து வந்தார்,ସେହି ଗାଁରେ ଜଣେ ବୃଦ୍ଧ ମହିଳା ରହୁଥିଲେ,Stories
वह अपनी पुरानी भाषा बोलती थी,She spoke her old language,सा स्वस्य पुरातनभाषां वदति स्म,அவள் பழைய மொழி பேசினாள்,ସେ ତାଙ୍କର ପୁରୁଣା ଭାଷା କହିଥିଲେ,Stories
उसकी कहानियाँ बहुत सुंदर थीं,Her stories were very beautiful,तस्याः कथाः अतीव सुन्दराः आसन्,அவளுடைய கதைகள் மிகவும் அழகாக இருந்தன,ତାଙ୍କର କାହାଣୀ ବହୁତ ସୁନ୍ଦର ଥିଲା |,Stories
लेकिन अब कोई सुनने वाला नहीं था,But now there was no one to listen,परन्तु इदानीं श्रोतुं कोऽपि नासीत्,ஆனால் இப்போது கேட்க யாரும் இல்லை,କିନ୍ତୁ ବର୍ତ୍ତମାନ ଶୁଣିବାକୁ କେହି ନଥିଲେ,Stories
बच्चे शहर चले गए थे,The children had moved to the city,बालकाः नगरं गतवन्तः आसन्,பிள்ளைகள் ஊருக்குச் சென்றுவிட்டனர்,ପିଲାମାନେ ସହରକୁ ଯାଇଥିଲେ,Stories
उसकी भाषा धीरे धीरे खो रही थी,Her language was slowly being lost,तस्याः भाषा शनैः शनैः नष्टा भवति स्म,அவளுடைய மொழி மெல்ல மெல்ல அழிந்தது,ତା’ର ଭାଷା ଧୀରେ ଧୀରେ ହଜିଯାଉଥିଲା |,Stories
एक दिन एक छोटा रोबोट गाँव आया,One day a small robot came to the village,एकस्मिन् दिने एकः लघुः रोबोट् ग्रामम् आगतः,ஒரு நாள் அந்த கிராமத்திற்கு ஒரு சிறிய ரோபோ வந்தது,ଦିନେ ଏକ ଛୋଟ ରୋବଟ୍ ଗାଁକୁ ଆସିଲା |,Stories
उसका नाम भाषा सेतु था,Its name was BhashaSetu,अस्य नाम भाषासेतुः आसीत्,அதன் பெயர் பாஷாசேது,ଏହାର ନାମ ଭାସା ସେଟୁ ଥିଲା |,Stories
रोबोट ने कहा मुझे एक कहानी सुनाइए,The robot said tell me a story,रोबोट् अवदत् कथां कथयतु,ரோபோ ஒரு கதை சொல்லு என்றது,ରୋବଟ୍ କହିଲା ମୋତେ ଏକ କାହାଣୀ କୁହ |,Stories
महिला मुस्कुराई और बोलने लगी,The woman smiled and began to speak,सा स्त्रियाः स्मितं कृत्वा वक्तुं आरब्धा,அந்தப் பெண் சிரித்துக் கொண்டே பேச ஆரம்பித்தாள்,ମହିଳା ଜଣକ ହସି ହସିବାକୁ ଲାଗିଲେ,Stories
रोबोट ने हर शब्द रिकॉर्ड किया,The robot recorded every word,रोबोट् प्रत्येकं शब्दं अभिलेखयति स्म,ரோபோ ஒவ்வொரு வார்த்தையையும் பதிவு செய்தது,ରୋବଟ୍ ପ୍ରତ୍ୟେକ ଶବ୍ଦକୁ ରେକର୍ଡ କଲା |,Stories
अब उसकी कहानियाँ हमेशा जीवित रहेंगी,Now her stories will live forever,इदानीं तस्याः कथाः सदा जीविष्यन्ति,இப்போது அவளுடைய கதைகள் என்றென்றும் வாழும்,ବର୍ତ୍ତମାନ ତାଙ୍କ କାହାଣୀ ସବୁଦିନ ପାଇଁ ବଞ୍ଚିବ |,Stories
भाषा बच गई और गाँव खुश हुआ,The language was saved and the village rejoiced,"भाषा उद्धारिता, ग्रामः आनन्दितः अभवत्",மொழி காப்பாற்றப்பட்டு ஊர் மகிழ்ந்தது,ଭାଷା ସଞ୍ଚୟ ହେଲା ଏବଂ ଗାଁ ଆନନ୍ଦିତ ହେଲା |,Stories
महाराष्ट्र के जंगलों में वारली लोग रहते हैं,The Warli people live in the forests of Maharashtra,वारलीजनाः महाराष्ट्रस्य वनेषु निवसन्ति,மகாராஷ்டிரா காடுகளில் வார்லி இன மக்கள் வாழ்கின்றனர்,ୱାର୍ଲି ଲୋକମାନେ ମହାରାଷ୍ଟ୍ରର ଜଙ୍ଗଲରେ ରୁହନ୍ତି |,Stories
